Jenjang;Fakultas;Tipe;Prodi;Jenis_Kelamin;Agama;Tanggal_Lulus;Lama_Studi;Periode_Wisuda;IPK;Jalur_Penerimaan;SPP;Level_UKT;Jenis_UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;P;ISLAM;28-08-2014;8 Tahun 0 Bulan;20172;2.85;SBMPTN;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;L;ISLAM;28-08-2014;8 Tahun 0 Bulan;20172;2.18;SBMPTN;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;L;PROTESTAN;31-01-2018;10 Tahun 6 Bulan;20172;2.85;SBMPTN;NULL;0;Non UKT
S-1;ILMU SOSIAL DAN ILMU POLITIK;Eksakta;Ilmu Politik;L;ISLAM;30-04-2014;6 Tahun 9 Bulan;20184;2.74;PMP;NULL;0;Non UKT
S-1;KESEHATAN MASYARAKAT;Eksakta;Kesehatan Masyarakat;P;ISLAM;24-08-2018;11 Tahun 1 Bulan;20181;3.39;SBMPTN;NULL;0;Non UKT
S-1;PSIKOLOGI;Eksakta;Psikologi;L;ISLAM;05-12-2013;6 Tahun 5 Bulan;20183;2.84;SBMPTN;NULL;0;Non UKT
S-1;TEKNIK;Eksakta;Teknik Elektro;L;KATOLIK;23-07-2018;10 Tahun 0 Bulan;20174;2.94;Mandiri;NULL;0;Non UKT
S-1;TEKNIK;Eksakta;Teknik Industri;L;KATOLIK;26-07-2017;9 Tahun 0 Bulan;20171;2.55;Mandiri;NULL;0;Non UKT
S-1;TEKNIK;Eksakta;Teknik Industri;L;ISLAM;01-07-2016;8 Tahun 0 Bulan;20174;2.17;Lain-lain;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Ekonomi Pembangunan;P;PROTESTAN;21-09-2016;8 Tahun 1 Bulan;20171;2.01;Mandiri;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;L;KATOLIK;15-12-2017;9 Tahun 4 Bulan;20172;3;Mandiri;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;L;KATOLIK;31-01-2018;9 Tahun 5 Bulan;20172;3.1;Mandiri;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;L;PROTESTAN;31-01-2018;9 Tahun 5 Bulan;20172;2.75;Mandiri;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;L;PROTESTAN;26-09-2018;10 Tahun 1 Bulan;20183;2.67;SNMPTN;NULL;0;Non UKT
S-1;ILMU BUDAYA;Eksakta;Sastra Indonesia;L;ISLAM;10-03-2016;7 Tahun 8 Bulan;20174;3.44;Mandiri;NULL;0;Non UKT
S-1;ILMU SOSIAL DAN ILMU POLITIK;Eksakta;Sosiologi;L;PROTESTAN;02-10-2014;6 Tahun 2 Bulan;20203;2.77;SNMPTN;NULL;0;Non UKT
S-1;ILMU SOSIAL DAN ILMU POLITIK;Eksakta;Ilmu Politik;L;ISLAM;30-05-2014;5 Tahun 9 Bulan;20171;2.93;Mandiri;NULL;0;Non UKT
S-1;KESEHATAN MASYARAKAT;Eksakta;Kesehatan Masyarakat;P;ISLAM;08-03-2019;10 Tahun 7 Bulan;20183;2.36;PMP;NULL;0;Non UKT
S-1;ILMU KOMPUTER DAN TEKNOLOGI INFORMASI;Eksakta;Ilmu Komputer;L;PROTESTAN;03-08-2018;10 Tahun 7 Bulan;20182;3.37;Mandiri;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;ISLAM;30-10-2017;8 Tahun 3 Bulan;20171;2.56;PMP;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;P;BUDHA;09-02-2018;8 Tahun 7 Bulan;20172;3.08;SBMPTN;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;ISLAM;25-08-2017;8 Tahun 1 Bulan;20171;2.67;Mandiri;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;KATOLIK;21-11-2017;8 Tahun 4 Bulan;20172;2.68;Mandiri;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;P;PROTESTAN;07-02-2018;8 Tahun 7 Bulan;20172;2.33;Mandiri;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;PROTESTAN;25-08-2017;8 Tahun 1 Bulan;20171;2.54;Mandiri;NULL;0;Non UKT
S-1;TEKNIK;Eksakta;Teknik Elektro;L;PROTESTAN;02-08-2017;8 Tahun 2 Bulan;20171;2.55;SBMPTN;NULL;0;Non UKT
S-1;TEKNIK;Eksakta;Teknik Industri;L;ISLAM;12-10-2018;9 Tahun 4 Bulan;20181;2.77;PMP;NULL;0;Non UKT
S-1;TEKNIK;Eksakta;Teknik Sipil;L;PROTESTAN;18-10-2017;8 Tahun 4 Bulan;20171;2.73;SBMPTN;NULL;0;Non UKT
S-1;TEKNIK;Eksakta;Teknik Sipil;L;PROTESTAN;18-10-2017;8 Tahun 4 Bulan;20171;2.64;Mandiri;NULL;0;Non UKT
S-1;TEKNIK;Eksakta;Arsitektur;P;KATOLIK;03-03-2014;4 Tahun 9 Bulan;20171;3.31;SBMPTN;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Ekonomi Pembangunan;L;PROTESTAN;19-05-2017;7 Tahun 9 Bulan;20171;2.25;SNMPTN;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;L;PROTESTAN;27-06-2019;9 Tahun 10 Bulan;20184;3.13;SBMPTN;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;L;ISLAM;23-11-2017;8 Tahun 3 Bulan;20172;2.98;SBMPTN;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;P;PROTESTAN;20-04-2018;8 Tahun 8 Bulan;20173;3.72;SBMPTN;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;P;ISLAM;22-08-2017;8 Tahun 0 Bulan;20171;2.86;Mandiri;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;L;ISLAM;29-05-2019;9 Tahun 9 Bulan;20184;2.77;Mandiri;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;L;PROTESTAN;27-11-2019;10 Tahun 3 Bulan;20192;2.68;Mandiri;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Akuntansi;P;PROTESTAN;07-01-2019;9 Tahun 5 Bulan;20182;2.79;Mandiri;NULL;0;Non UKT
S-1;ILMU BUDAYA;Eksakta;Sastra Jepang;L;ISLAM;28-02-2017;7 Tahun 7 Bulan;20171;3.1;SBMPTN;NULL;0;Non UKT
S-1;ILMU SOSIAL DAN ILMU POLITIK;Eksakta;Antropologi Sosial;P;ISLAM;11-02-2016;6 Tahun 6 Bulan;20193;3.17;SBMPTN;NULL;0;Non UKT
S-1;ILMU SOSIAL DAN ILMU POLITIK;Eksakta;Ilmu Administrasi Bisnis;P;ISLAM;21-03-2016;6 Tahun 7 Bulan;20193;3.64;Lain-lain;NULL;0;Non UKT
S-1;KESEHATAN MASYARAKAT;Eksakta;Kesehatan Masyarakat;L;PROTESTAN;12-08-2019;10 Tahun 0 Bulan;20191;2.08;SBMPTN;NULL;0;Non UKT
S-1;KESEHATAN MASYARAKAT;Eksakta;Kesehatan Masyarakat;L;PROTESTAN;14-11-2017;8 Tahun 3 Bulan;20173;2.78;SBMPTN;NULL;0;Non UKT
S-1;KESEHATAN MASYARAKAT;Eksakta;Kesehatan Masyarakat;L;PROTESTAN;12-06-2017;7 Tahun 10 Bulan;20171;2.5;SBMPTN;NULL;0;Non UKT
S-1;ILMU KOMPUTER DAN TEKNOLOGI INFORMASI;Eksakta;Teknologi Informasi;L;KATOLIK;16-08-2017;8 Tahun 7 Bulan;20171;0;SBMPTN;NULL;0;Non UKT
S-1;ILMU KOMPUTER DAN TEKNOLOGI INFORMASI;Eksakta;Teknologi Informasi;L;ISLAM;16-08-2017;8 Tahun 7 Bulan;20172;0;Mandiri;NULL;0;Non UKT
S-1;FARMASI;Eksakta;Farmasi;L;PROTESTAN;26-04-2017;7 Tahun 4 Bulan;20182;2.49;SNMPTN;NULL;0;Non UKT
S-1;KEDOKTERAN;Eksakta;Pendidikan Dokter;L;ISLAM;12-02-2019;8 Tahun 7 Bulan;20183;1.14;Mandiri;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;ISLAM;08-02-2019;8 Tahun 7 Bulan;20183;2.66;SBMPTN (BIDIK MISI);NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;KATOLIK;22-12-2017;7 Tahun 5 Bulan;20172;2.63;SBMPTN;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;PROTESTAN;25-08-2017;7 Tahun 1 Bulan;20171;3.29;SBMPTN;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;PROTESTAN;22-01-2019;8 Tahun 6 Bulan;20182;2.41;Mandiri;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;ISLAM;08-02-2019;8 Tahun 7 Bulan;20182;2.49;Mandiri;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;PROTESTAN;25-04-2018;7 Tahun 9 Bulan;20173;2.38;Mandiri;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;ISLAM;31-01-2018;7 Tahun 6 Bulan;20172;2.75;Mandiri;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;PROTESTAN;25-04-2018;7 Tahun 9 Bulan;20173;2.42;Mandiri;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;ISLAM;24-10-2018;8 Tahun 3 Bulan;20181;2.8;Mandiri;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;PROTESTAN;30-10-2017;7 Tahun 3 Bulan;20171;3.01;Mandiri;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;PROTESTAN;28-02-2019;8 Tahun 7 Bulan;20191;2.92;Mandiri;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;ISLAM;07-02-2019;8 Tahun 7 Bulan;20182;2.47;Mitra Dunia Usaha;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;ISLAM;15-07-2019;9 Tahun 0 Bulan;20184;2.33;Mandiri;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;ISLAM;30-10-2017;7 Tahun 3 Bulan;20171;2.71;Mandiri;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Agroteknologi;L;ISLAM;16-08-2017;7 Tahun 1 Bulan;20171;NULL;PMP;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Agroteknologi;L;ISLAM;29-09-2017;7 Tahun 2 Bulan;20172;NULL;PMP;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Agroteknologi;P;ISLAM;24-08-2017;7 Tahun 1 Bulan;20171;NULL;SBMPTN;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Agroteknologi;L;ISLAM;02-08-2017;7 Tahun 1 Bulan;20171;NULL;SBMPTN (BIDIK MISI);NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Agroteknologi;L;KATOLIK;02-08-2017;7 Tahun 1 Bulan;20171;2.81;SBMPTN;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Agroteknologi;L;ISLAM;25-08-2017;7 Tahun 1 Bulan;20171;NULL;SBMPTN;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Agroteknologi;L;PROTESTAN;03-08-2017;7 Tahun 1 Bulan;20171;2.98;SBMPTN;NULL;0;Non UKT
